description,crime_type,severity,legal_sections,resolution,source
Husband beat wife repeatedly over dowry demands. She was hospitalised twice.,domestic_violence,3,"IPC 498A, IPC 323, DV Act 2005",Filed FIR. Court granted protection order. Majlis Law provided legal aid. Husband arrested.,seed_verified
Husband strangled wife and attempted to kill her. She escaped to a neighbour's house.,domestic_violence,4,"IPC 307, IPC 498A, DV Act 2005",Emergency shelter at One Stop Centre. FIR under IPC 307. Husband remanded to custody.,seed_verified
Husband poured kerosene on wife and set her on fire after a dowry dispute. 40% burns.,domestic_violence,4,"IPC 307, IPC 498A, IPC 304B",Husband arrested. Treated at government burns unit. Convicted — 10 years imprisonment.,seed_verified
Husband verbally abuses wife every day in front of children. No physical violence.,domestic_violence,1,"DV Act 2005 Section 3, IPC 509",Protection Officer issued formal warning. Counselling ordered.,seed_verified
"Live-in partner physically assaulted and abandoned woman with a toddler, no financial support.",domestic_violence,3,"DV Act 2005, IPC 323, IPC 506",Court granted residence order and Rs 8000/month maintenance.,seed_verified
"Husband gambled away all savings, sold wife jewellery without consent, denies her money for food.",domestic_violence,2,"DV Act 2005 Section 3, IPC 406",Court ordered Rs 5000/month maintenance.,seed_verified
Mother-in-law and husband harassed woman for not producing a male child. Starved her.,domestic_violence,3,"IPC 498A, DV Act 2005",NCW intervened. Protection order granted.,seed_verified
"Woman locked inside house for 6 months, denied phone and contact with family.",domestic_violence,3,"IPC 342, IPC 498A, DV Act 2005",Neighbour alerted NCW. Police freed woman. FIR filed.,seed_verified
Husband forced wife to work as domestic help and took all her earnings.,domestic_violence,2,"DV Act 2005, IPC 374",Court ordered husband to return wages and pay maintenance.,seed_verified
Woman beaten every time husband drank alcohol. Ribs broken on two occasions.,domestic_violence,4,"IPC 498A, IPC 325, DV Act 2005",Majlis Law filed FIR. Husband convicted under IPC 325.,seed_verified
Husband burned her hands on stove when dinner was not ready on time.,domestic_violence,4,"IPC 307, IPC 326, IPC 498A",Neighbour called police. Husband arrested. Fast-track court case filed.,seed_verified
Husband sent her abusive voice notes threatening to throw her out with no money.,domestic_violence,2,"IPC 498A, IPC 506, DV Act 2005",Voice notes used as evidence. Protection officer issued notice.,seed_verified
Woman not given food for 3 days as punishment for talking to her parents on phone.,domestic_violence,3,"IPC 498A, DV Act 2005",One Stop Centre gave immediate shelter. FIR filed. Husband arrested.,seed_verified
Husband forced wife to sign blank documents and transferred her savings to his account.,domestic_violence,3,"IPC 406, IPC 420, DV Act 2005",Bank alerted. Transactions reversed by court order.,seed_verified
Husband threatened to take away children if wife reported domestic violence.,domestic_violence,3,"IPC 498A, IPC 506, DV Act 2005",Court granted interim custody to wife. Protection order issued.,seed_verified
